"ogc_fid(ogc_fid)","occurrence(occurrence)","scientific(scientific)","scientif_1(scientif_1)","vernacular(vernacular)","kingdom(kingdom)","phylum(phylum)","class(class)","order(order)","family(family)","genus(genus)","specificep(specificep)","infraspeci(infraspeci)","country(country)","countrycod(countrycod)","stateprovi(stateprovi)","verbatimlo(verbatimlo)","decimallat(decimallat)","decimallon(decimallon)","georeferen(georeferen)","eventdate(eventdate)","year(year)","month(month)","day(day)","basisofrec(basisofrec)","institutio(institutio)","collection(collection)","catalognum(catalognum)","recordedby(recordedby)","recordnumb(recordnumb)","identified(identified)","dynamicpro(dynamicpro)","associated(associated)","modified_by(modified_by)","last_modification(last_modification)","featureid"
"42","42","Eragrostis plana","Nees","Capin annoni","Plantae","Magnoliophyta","Liliopsida","Cyperales","Poaceae","Eragrostis","plana","NA","Uruguay","Uy","Rivera","NA","-31.30537335","-55.67247849","MGAP","NA","NA","NA","NA","NA","NA","NA","NA","MGAP","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","eragrostis_plana.42"
"43","43","Eragrostis plana","Nees","Capin annoni","Plantae","Magnoliophyta","Liliopsida","Cyperales","Poaceae","Eragrostis","plana","NA","Uruguay","Uy","Rivera","NA","-31.30303069","-55.68451826","MGAP","NA","NA","NA","NA","NA","NA","NA","NA","MGAP","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","eragrostis_plana.43"
"44","44","Eragrostis plana","Nees","Capin annoni","Plantae","Magnoliophyta","Liliopsida","Cyperales","Poaceae","Eragrostis","plana","NA","Uruguay","Uy","Rivera","NA","-31.38881737","-55.72982823","MGAP","NA","NA","NA","NA","NA","NA","NA","NA","MGAP","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","eragrostis_plana.44"
"45","45","Eragrostis plana","Nees","Capin annoni","Plantae","Magnoliophyta","Liliopsida","Cyperales","Poaceae","Eragrostis","plana","NA","Uruguay","Uy","Artigas","NA","-30.50771632","-57.66171643","MGAP","NA","NA","NA","NA","NA","NA","NA","NA","MGAP","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","eragrostis_plana.45"
"46","46","Eragrostis plana","Nees","Capin annoni","Plantae","Magnoliophyta","Liliopsida","Cyperales","Poaceae","Eragrostis","plana","NA","Uruguay","Uy","Artigas","NA","-30.58030972","-57.6790388","MGAP","NA","NA","NA","NA","NA","NA","NA","NA","MGAP","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","eragrostis_plana.46"
"47","47","Eragrostis plana","Nees","Capin annoni","Plantae","Magnoliophyta","Liliopsida","Cyperales","Poaceae","Eragrostis","plana","NA","Uruguay","Uy","Artigas","NA","-30.50889088","-57.83638263","MGAP","NA","NA","NA","NA","NA","NA","NA","NA","MGAP","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","eragrostis_plana.47"
"48","48","Eragrostis plana","Nees","Capin annoni","Plantae","Magnoliophyta","Liliopsida","Cyperales","Poaceae","Eragrostis","plana","NA","Uruguay","Uy","Artigas","NA","-30.93333333","-56.06666667","MGAP","NA","NA","NA","NA","NA","NA","NA","NA","MGAP","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","eragrostis_plana.48"
"49","49","Eragrostis plana","Nees","Capin annoni","Plantae","Magnoliophyta","Liliopsida","Cyperales","Poaceae","Eragrostis","plana","NA","Uruguay","Uy","Artigas","NA","-30.95","-56.13333333","MGAP","NA","NA","NA","NA","NA","NA","NA","NA","MGAP","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","eragrostis_plana.49"
"50","50","Eragrostis plana","Nees","Capin annoni","Plantae","Magnoliophyta","Liliopsida","Cyperales","Poaceae","Eragrostis","plana","NA","Uruguay","Uy","Artigas","NA","-30.91666667","-56.08333333","MGAP","NA","NA","NA","NA","NA","NA","NA","NA","MGAP","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","eragrostis_plana.50"
"51","51","Eragrostis plana","Nees","Capin annoni","Plantae","Magnoliophyta","Liliopsida","Cyperales","Poaceae","Eragrostis","plana","NA","Uruguay","Uy","Artigas","NA","-30.86666667","-56.03333333","MGAP","NA","NA","NA","NA","NA","NA","NA","NA","MGAP","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","eragrostis_plana.51"
