"ogc_fid(ogc_fid)","occurrence(occurrence)","scientific(scientific)","scientif_1(scientif_1)","vernacular(vernacular)","kingdom(kingdom)","phylum(phylum)","class(class)","order(order)","family(family)","genus(genus)","specificep(specificep)","infraspeci(infraspeci)","country(country)","countrycod(countrycod)","stateprovi(stateprovi)","verbatimlo(verbatimlo)","decimallat(decimallat)","decimallon(decimallon)","georeferen(georeferen)","eventdate(eventdate)","year(year)","month(month)","day(day)","basisofrec(basisofrec)","institutio(institutio)","collection(collection)","catalognum(catalognum)","recordedby(recordedby)","recordnumb(recordnumb)","identified(identified)","dynamicpro(dynamicpro)","associated(associated)","modified_by(modified_by)","last_modification(last_modification)","featureid"
"28","28","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Colonia","NA","-34.26896","-57.24745","InvForestal","26/05/2016","2016","Mayo","26","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.28"
"29","29","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Artigas","NA","-30.40742","-57.1902","InvForestal","04/02/2016","2016","Febrero","4","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.29"
"30","30","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Colonia","NA","-34.42218","-57.12505","InvForestal","08/04/2016","2016","Abril","8","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.30"
"31","31","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","Colonia","NA","-34.09737","-57.08477","InvForestal","03/06/2016","2016","Junio","3","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.31"
"32","32","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","San José","NA","-34.28588","-57.08424","InvForestal","22/03/2015","2015","Marzo","22","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.32"
"33","33","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","San José","NA","-34.50566","-57.06437","InvForestal","23/03/2015","2015","Marzo","23","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.33"
"34","34","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","San José","NA","-34.50758","-57.04426","InvForestal","24/01/2015","2015","Enero","24","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.34"
"35","35","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","San José","NA","-34.52465","-57.04428","InvForestal","21/01/2015","2015","Enero","21","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.35"
"36","36","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","San José","NA","-34.47341","-57.02401","InvForestal","22/03/2015","2015","Marzo","22","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.36"
"37","37","Ligustrum lucidum","W.T. Aiton","Ligustro","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","lucidum","NA","Uruguay","Uy","San José","NA","-34.50758","-57.02401","InvForestal","23/01/2015","2015","Enero","23","NA","NA","NA","NA","InvForestal","NA","NA","Ex�tica invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","ligustrum_lucidum.37"
