"ogc_fid(ogc_fid)","occurrence(occurrence)","scientific(scientific)","scientif_1(scientif_1)","vernacular(vernacular)","kingdom(kingdom)","phylum(phylum)","class(class)","order(order)","family(family)","genus(genus)","specificep(specificep)","infraspeci(infraspeci)","country(country)","countrycod(countrycod)","stateprovi(stateprovi)","verbatimlo(verbatimlo)","decimallat(decimallat)","decimallon(decimallon)","georeferen(georeferen)","eventdate(eventdate)","year(year)","month(month)","day(day)","basisofrec(basisofrec)","institutio(institutio)","collection(collection)","catalognum(catalognum)","recordedby(recordedby)","recordnumb(recordnumb)","identified(identified)","dynamicpro(dynamicpro)","associated(associated)","modified_by(modified_by)","last_modification(last_modification)","featureid"
"33","33","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Rio Negro","NA","-33.01692","-57.56473","Alexandra Cravino","2015-2016","2015-2016","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.33"
"34","34","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Rio Negro","NA","-33.01914","-57.56628","Alexandra Cravino","2015-2016","2015-2016","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.34"
"35","35","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Rio Negro","NA","-33.01469","-57.56081","Alexandra Cravino","2015-2016","2015-2016","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.35"
"36","36","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Rio Negro","NA","-33.01564","-57.57019","Alexandra Cravino","2015-2016","2015-2016","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.36"
"37","37","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Rio Negro","NA","-33.01239","-57.54913","Alexandra Cravino","2015-2016","2015-2016","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.37"
"38","38","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Rio Negro","NA","-33.01019","-57.54931","Alexandra Cravino","2015-2016","2015-2016","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.38"
"39","39","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Rio Negro","NA","-33.00192","-57.57446","Alexandra Cravino","2015-2016","2015-2016","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.39"
"40","40","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Rio Negro","NA","-33.01336","-57.55369","Alexandra Cravino","2015-2016","2015-2016","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.40"
"41","41","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Rio Negro","NA","-33.00869","-57.55186","Alexandra Cravino","2015-2016","2015-2016","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.41"
"42","42","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.50008","-55.71447","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.42"
"43","43","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.50575","-55.71653","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.43"
"44","44","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.50697","-55.71283","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.44"
"45","45","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.51478","-55.71739","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.45"
"46","46","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.51717","-55.71664","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.46"
"47","47","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.51894","-55.71861","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.47"
"48","48","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.52089","-55.71922","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.48"
"49","49","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.50933","-55.71403","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.49"
"50","50","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.52417","-55.72106","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.50"
"51","51","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.54889","-55.6965","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.51"
"52","52","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.54072","-55.69367","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.52"
"53","53","Sus scrofa","Linneaus, 1758","Jabal�","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","scrofa","NA","Uruguay","Uy","Durazno","NA","-32.51253","-55.71556","Alexandra Cravino","2016-2017","2016-2017","NA","NA","NA","NA","NA","NA","Alexandra Cravino","NA","Alexandra Cravino","Ex�tica Invasora","Especies ex�ticas invasoras prioritarias. Comite de Especies Ex�ticas Invasoras, Ministerio de Ambiente. Uruguay","","","sus_scrofa.53"
